,Gene_Name,Series1_NHBE_Mock_1,Series1_NHBE_Mock_2,Series1_NHBE_Mock_3,Series1_NHBE_SARS-CoV-2_1,Series1_NHBE_SARS-CoV-2_2,Series1_NHBE_SARS-CoV-2_3
3826,PAWR,303,322,500,351,249,896
3827,PPP1R12A,1031,980,1896,888,962,2482
3830,MYF6,0,0,0,0,0,3
3831,ACSS3,2,0,4,4,0,7
3832,PPFIA2,0,1,5,2,1,4
3833,CCDC59,563,428,694,371,375,1232
3834,METTL25,17,18,40,12,20,61
3835,TMTC2,218,221,380,206,212,590
3836,SLC6A15,461,402,662,415,471,1141
3837,LRRIQ1,18,31,65,15,18,66
3838,ALX1,8,9,11,5,6,25
3839,RASSF9,142,112,226,115,135,371
3840,NTS,0,0,1,0,0,0
3843,C12orf29,150,182,435,224,205,521
3844,CEP290,377,395,877,332,342,869
3845,TMTC3,587,794,1996,627,611,1567
3846,KITLG,244,298,551,207,221,509
3847,DUSP6,2344,1966,4295,2244,2297,7372
3848,POC1B,170,162,378,187,174,488
3849,GALNT4,2,1,5,3,1,2
3850,ATP2B1,375,358,637,331,329,1022
3852,LUM,0,1,0,0,0,9
3853,DCN,6,0,9,5,1,6
3854,BTG1,1030,1037,1670,1235,1131,3257
3857,C12orf74,2,4,2,5,2,8
3858,PLEKHG7,3,7,10,15,14,28
3859,EEA1,1912,1951,3552,1456,1670,4233
3862,UBE2N,1385,1291,2054,1195,1194,3867
3863,MRPL42,253,224,462,206,240,684
3865,SOCS2,34,33,67,46,42,100
3866,CRADD,46,41,98,42,34,141
3868,TMCC3,439,428,777,336,369,1176
3869,NDUFA12,2485,1995,2284,1336,1563,5120
3870,NR2C1,266,338,555,245,258,661
3871,FGD6,846,726,1322,838,807,2453
3872,VEZT,1696,1455,2264,1284,1446,4371
3874,METAP2,3278,2592,4263,2151,2656,7382
3877,NTN4,1586,1465,2431,1506,1477,4402
3878,SNRPF,2434,1964,2535,1420,1787,4766
3880,HAL,3,2,6,2,3,10
3881,LTA4H,3238,2772,4763,2834,2922,8345
3883,CDK17,322,311,554,289,324,832
3884,NEDD1,385,385,960,371,404,931
3887,TMPO,524,525,951,394,471,1335
3888,SLC25A3,2545,2336,4283,2049,2220,6876
3890,IKBIP,299,259,638,263,271,735
3891,APAF1,330,341,579,288,311,734
3893,UHRF1BP1L,105,94,316,144,113,304
3895,ACTR6,49,94,276,104,68,210
3896,DEPDC4,11,8,18,8,7,24
3897,SCYL2,505,566,1121,525,501,1535
3898,GAS2L3,33,29,32,26,22,59
3899,ANO4,102,72,101,73,85,228
3900,UTP20,355,298,585,257,322,883
3901,ARL1,1169,1133,1884,995,985,2844
3902,SPIC,0,0,0,0,0,1
3903,MYBPC1,0,0,1,0,0,0
3904,CHPT1,21,43,70,27,35,69
3906,GNPTAB,1040,1001,1725,979,1011,2801
3907,DRAM1,375,326,559,522,571,1372
3908,NUP37,213,138,282,147,148,412
3909,PARPBP,17,38,98,24,40,88
3910,PMCH,1,0,0,0,1,0
3912,STAB2,0,1,0,1,1,3
3913,NT5DC3,443,391,610,244,299,742
3914,HSP90B1,20218,17868,30027,15184,18767,49323
3916,TDG,288,346,696,317,333,833
3917,GLT8D2,30,23,42,24,16,48
3918,HCFC2,253,230,358,190,174,543
3919,NFYB,267,257,405,235,226,716
3920,TXNRD1,1891,1650,3010,1584,1716,4604
3922,CHST11,766,629,1054,686,719,2097
3923,SLC41A2,47,33,78,33,47,94
3924,C12orf45,106,84,139,90,78,228
3925,ALDH1L2,105,87,148,73,80,215
3926,APPL2,203,172,352,163,171,566
3928,NUAK1,326,253,442,282,323,849
3929,CKAP4,2510,2552,4250,2660,2701,7692
3930,TCP11L2,121,119,156,89,82,271
3931,POLR3B,278,278,496,202,262,831
3933,RIC8B,213,162,279,173,164,487
3934,CRY1,90,74,149,96,93,280
3935,BTBD11,677,610,1022,471,493,1522
3936,PWP1,530,406,838,510,478,1361
3937,PRDM4,686,609,912,590,564,1914
3940,FICD,26,15,30,24,23,40
3941,SART3,650,625,1021,626,573,1651
3942,ISCU,488,443,736,361,348,1225
3943,SELPLG,36,37,36,29,21,89
3944,CORO1C,2627,2257,4100,2212,2457,7183
3945,SSH1,1526,1306,2245,1382,1242,3982
3948,USP30,150,169,257,130,141,427
3949,ALKBH2,144,121,178,122,98,327
3950,UNG,345,315,530,271,256,826
3951,ACACB,23,21,44,19,17,25
3952,FOXN4,0,0,0,0,1,0
3954,KCTD10,995,946,1664,986,945,2801
3955,UBE3B,809,673,1199,711,696,2050
3956,MMAB,274,270,369,261,214,687
3957,MVK,380,352,560,366,335,1087
3958,FAM222A,4,5,4,1,1,12
3959,TRPV4,95,88,115,118,79,215
3960,GLTP,1021,941,1805,1160,970,3107
3961,TCHP,349,269,465,283,254,851
3962,GIT2,584,556,923,573,601,1832
3963,ANKRD13A,937,885,1318,735,822,2290
3964,C12orf76,20,31,35,28,20,72
3965,IFT81,236,249,553,203,242,585
3966,ATP2A2,7405,7725,12487,6199,6774,18896
3967,ANAPC7,586,510,848,532,545,1659
3968,ARPC3,3958,3299,5428,3554,3605,10467
3969,GPN3,78,78,200,82,75,244
3970,FAM216A,47,54,118,59,54,207
3971,VPS29,1562,1259,2093,1149,1255,3698
3973,PPTC7,249,276,553,274,280,633
3974,TCTN1,115,104,161,77,121,232
3975,HVCN1,20,17,44,26,18,65
3976,PPP1CC,751,775,1670,562,632,1635
3977,CCDC63,0,0,6,0,1,0
3978,MYL2,0,2,0,1,0,2
3979,CUX2,93,78,145,91,94,256
3980,SH2B3,240,234,330,189,229,660
3981,ATXN2,1252,1071,1750,1058,1043,3087
3982,BRAP,507,468,687,401,412,1426
3983,ACAD10,180,219,259,174,176,448
3984,ALDH2,846,799,1317,966,898,2205
3986,MAPKAPK5,284,282,493,308,309,869
3988,TMEM116,38,29,48,19,23,84
3989,ERP29,2262,2077,3037,1939,2015,5320
3990,NAA25,684,675,1149,519,619,1805
3991,TRAFD1,1291,1137,1603,964,1053,2905
3993,RPL6,11551,8963,16252,9408,10615,30282
3994,PTPN11,3575,2757,5083,2835,3127,9090
3995,OAS1,81,84,102,195,226,715
3996,OAS3,479,497,620,933,954,3484
3997,OAS2,352,330,430,643,665,2218
3999,RASAL1,14,13,24,19,20,47
4000,DDX54,798,750,1172,1054,691,2120
4002,TPCN1,526,492,706,616,515,1728
4003,PLBD2,1192,1107,1252,1062,981,2638
4004,SDSL,81,85,85,80,56,193
4006,RBM19,396,343,607,382,365,1221
4007,TBX3,87,89,156,73,85,207
4008,MED13L,1207,1133,1929,914,1048,2805
4010,MAP1LC3B2,2,2,6,3,1,6
4011,C12orf49,241,258,422,250,211,636
4012,RNFT2,9,3,4,4,5,13
4013,HRK,1,0,0,0,0,3
4014,FBXW8,166,153,231,175,134,383
4015,TESC,0,0,0,0,0,1
4016,FBXO21,311,261,513,325,332,819
4017,NOS1,226,155,283,184,139,627
4018,KSR2,4,1,4,3,0,7
4019,RFC5,239,151,199,130,140,430
4020,WSB2,1234,1022,1773,1047,1083,3508
4022,PEBP1,2441,2360,4176,2104,2132,6442
4023,TAOK3,833,797,1280,704,800,2055
4024,SUDS3,1302,1186,1837,1009,1194,3362
4025,HSPB8,410,385,630,306,336,954
4027,PRKAB1,343,317,425,290,283,835
4028,CIT,179,142,272,125,143,343
4030,RAB35,918,776,1324,849,806,2357
4031,RPLP0,33676,28230,38048,27981,25381,76658
4033,PXN,5517,5223,8031,5487,4688,14661
4034,SIRT4,8,7,20,10,10,26
4036,COX6A1,842,745,948,838,626,2015
4037,TRIAP1,557,514,1066,421,445,1246
4038,GATC,483,455,794,458,380,1300
4039,SRSF9,1109,945,1520,1146,1106,3006
4040,DYNLL1,4487,3567,5151,4057,3480,11209
4041,COQ5,235,236,440,228,177,538
4042,RNF10,1756,1450,2346,1432,1573,4481
4043,POP5,118,124,191,144,106,357
4044,CABP1,2,1,2,2,1,10
4045,MLEC,3051,2627,4483,2204,2530,7000
4046,UNC119B,429,361,753,327,320,858
4048,SPPL3,325,317,539,315,289,819
4051,OASL,33,21,37,44,22,69
4053,P2RX4,27,23,43,33,24,79
4054,CAMKK2,804,775,1355,784,751,2230
4055,ANAPC5,827,761,1367,782,668,2061
4056,RNF34,401,397,633,325,251,930
4057,KDM2B,223,227,346,226,192,664
4058,ORAI1,59,69,82,97,47,188
4059,MORN3,6,7,7,4,4,16
4060,TMEM120B,233,209,297,239,208,732
4061,RHOF,253,266,406,488,326,1164
4062,SETD1B,543,524,860,576,390,1243
4063,PSMD9,600,469,763,604,521,1471
4064,WDR66,1479,1177,2005,1167,1331,3971
4065,BCL7A,278,278,480,275,264,861
4066,MLXIP,1066,1052,1429,1083,834,2719
4068,B3GNT4,38,50,76,43,27,106
4069,DIABLO,511,455,807,500,439,1227
4070,VPS33A,318,319,449,217,259,760
4071,CLIP1,3044,2552,4183,2424,2566,7615
4072,ZCCHC8,254,231,337,204,202,562
4073,RSRC2,2210,1846,3163,1628,1860,5553
4074,KNTC1,149,138,242,111,130,301
4075,HCAR2,403,416,548,454,414,1115
4076,HCAR3,316,282,489,460,446,1084
4077,HCAR1,13,9,24,7,12,8
4078,DENR,1018,978,1912,950,886,2686
4079,CCDC62,10,15,17,6,13,32
4080,HIP1R,394,472,614,496,353,932
4081,VPS37B,782,819,1201,831,703,2386
4082,ABCB9,55,52,70,51,39,121
4083,OGFOD2,59,73,124,75,79,164
4084,ARL6IP4,955,902,1399,1044,820,2594
4085,PITPNM2,187,173,278,187,176,446
4086,MPHOSPH9,102,92,171,87,106,258
4087,C12orf65,159,143,227,127,117,365
4088,CDK2AP1,769,742,1468,754,730,2256
4089,SBNO1,1154,1104,2018,973,1130,2791
4090,RILPL2,144,138,227,151,130,471
4091,SNRNP35,399,295,426,275,303,923
4092,RILPL1,249,250,401,262,221,769
4093,TMED2,2926,2892,4830,2628,2739,7900
4094,DDX55,411,386,793,361,394,1069
4095,EIF2B1,737,592,978,555,665,1843
4096,GTF2H3,323,285,543,270,294,852
4097,TCTN2,91,83,176,67,65,239
4098,ATP6V0A2,216,220,296,186,175,604
4099,DNAH10,0,1,1,3,1,5
4100,CCDC92,434,404,555,349,343,1080
4101,ZNF664,1550,1472,2664,1202,1325,3672
4102,NCOR2,1131,1237,1768,1278,797,2666
4103,SCARB1,922,946,1266,945,764,2488
4104,UBC,12510,10074,15982,11666,11216,34008
4106,DHX37,202,191,297,280,208,557
4107,BRI3BP,187,146,179,107,145,341
4108,AACS,494,451,766,457,490,1424
4110,SLC15A4,216,189,354,196,206,572
4112,FZD10,26,25,24,23,12,54
4113,PIWIL1,3,2,4,4,2,12
4115,STX2,235,195,364,207,222,758
4116,RAN,3915,3106,4603,3209,3607,11205
4117,SFSWAP,628,541,749,564,488,1385
4118,MMP17,15,30,23,37,8,53
4119,ULK1,470,557,705,600,328,1081
4120,PUS1,136,147,200,210,119,397
4121,EP400,979,898,1423,811,755,2272
4123,DDX51,146,217,251,180,167,464
4124,NOC4L,91,94,130,127,76,278
4125,GALNT9,0,0,1,0,0,0
4127,FBRSL1,136,196,283,205,138,364
4128,POLE,253,243,348,227,236,586
4129,PXMP2,52,37,46,39,34,79
4130,PGAM5,472,391,624,457,353,1308
4131,ANKLE2,1317,1265,1842,1306,1299,3656
4132,GOLGA3,1147,1115,1685,1244,1109,3374
4133,CHFR,361,424,587,393,313,961
4135,ZNF26,4,4,3,4,2,13
4137,ZNF140,108,69,147,75,85,200
4138,ZNF10,63,65,103,54,41,188
4139,ZNF268,228,242,390,155,197,459
4141,MPHOSPH8,1089,971,1560,866,908,2524
4142,PSPC1,820,638,1106,638,685,2234
4143,ZMYM5,141,120,250,139,120,349
4144,ZMYM2,1270,1424,2611,1132,1151,3056
4146,GJB2,1780,1701,2461,2136,2169,6133
4147,GJB6,40,37,62,51,53,110
4148,CRYL1,108,101,151,105,82,282
4149,IFT88,85,82,148,73,73,182
4150,IL17D,1,3,2,1,1,4
4151,XPO4,285,271,581,258,243,815
4152,LATS2,289,265,485,302,211,743
4153,SAP18,1996,1579,2492,1470,1449,4670
4154,SKA3,68,37,150,55,49,165
4156,ZDHHC20,538,556,1197,480,507,1288
4157,FGF9,1,0,0,0,0,0
4158,SACS,454,488,958,438,434,1406
4160,TNFRSF19,7,10,11,10,8,28
4161,MIPEP,206,197,318,156,172,474
4164,SPATA13,37,28,76,20,17,84
4165,PARP4,1658,1341,2355,1205,1331,3749
4167,ATP12A,21,19,44,25,30,134
4168,RNF17,0,0,3,2,1,10
4169,CENPJ,157,161,292,120,169,382
4172,MTMR6,230,189,493,222,242,618
4175,RNF6,2181,1933,3300,1516,1828,5235
4176,CDK8,355,349,626,318,361,910
4177,WASF3,139,103,187,78,93,288
4179,USP12,404,431,877,343,368,944
4183,GTF3A,611,464,745,418,466,1401
4184,MTIF3,310,371,633,311,299,918
4185,LNX2,710,598,990,611,709,1744
4186,POLR1D,1951,1677,2681,1446,1671,4759
4187,CDX2,0,0,0,0,0,1
4189,PAN3,222,238,394,191,179,485
4190,POMP,662,613,1302,618,658,1648
4191,SLC46A3,60,56,154,70,63,161
4193,SLC7A1,1177,1046,1720,1223,1104,3490
4194,UBL3,136,159,285,140,127,342
4195,KATNAL1,377,288,478,286,294,783
4196,HMGB1,1860,1675,2609,1270,1537,4505
4197,USPL1,261,225,451,199,189,667
4198,ALOX5AP,15,21,17,11,17,27
4200,HSPH1,1039,1035,2250,892,973,2746
4202,BRCA2,43,53,109,38,39,96
4203,N4BP2L1,17,13,14,13,13,20
4204,N4BP2L2,564,539,1119,400,497,1360
4207,PDS5B,495,442,805,409,392,1097
4208,KL,0,3,0,0,0,0
4209,STARD13,169,212,327,227,223,586
4210,RFC3,39,51,93,34,34,107
4211,NBEA,37,38,63,27,30,61
4215,CCNA1,19,18,31,18,22,53
4216,RFXAP,9,12,38,15,11,35
4217,SMAD9,12,2,32,3,7,16
4218,ALG5,261,245,418,200,220,610
4219,EXOSC8,152,126,208,107,105,327
4220,SUPT20H,904,808,1295,748,745,2145
4221,POSTN,171,208,414,170,182,320
4223,UFM1,2412,1877,3049,1733,2034,5467
4224,FREM2,4,0,6,0,1,8
4225,PROSER1,885,868,1272,756,861,2220
4226,NHLRC3,239,223,366,179,215,537
4227,COG6,275,260,425,253,210,671
4231,FOXO1,309,363,505,207,222,578
4232,MRPS31,336,289,488,214,292,883
4233,SLC25A15,79,69,129,82,53,180
4236,ELF1,1862,1639,2439,1255,1379,3986
4237,WBP4,396,325,652,339,330,950
4238,KBTBD6,185,134,274,160,154,403
4239,KBTBD7,62,50,83,53,60,191
4240,MTRF1,95,92,162,72,97,233
4241,NAA16,65,89,144,55,67,221
4242,RGCC,41,25,55,19,21,48
4243,VWA8,975,831,1463,672,689,1997
4246,DGKH,132,159,200,135,123,390
4247,AKAP11,663,689,1333,586,532,1634
4248,TNFSF11,14,2,15,3,4,21
4249,EPSTI1,40,73,68,93,106,271
4250,DNAJC15,368,384,623,286,314,896
4252,CCDC122,33,45,136,39,29,100
4253,LACC1,455,482,907,420,532,1176
4256,TSC22D1,1326,1217,1873,938,1026,2866
4259,NUFIP1,106,116,200,89,100,251
4260,GTF2F2,538,470,1057,563,525,1618
4262,TPT1,41982,35019,60281,35526,35812,97440
4265,SLC25A30,259,280,472,235,257,704
4266,COG3,390,371,676,357,371,1002
4268,ZC3H13,2961,2564,4032,2139,2460,7193
4270,CPB2,0,2,1,0,0,0
4271,LCP1,103,89,114,73,82,271
4272,LRCH1,290,272,402,229,273,825
4273,ESD,848,810,1518,706,714,2059
4274,SUCLA2,341,353,708,334,322,1025
4275,NUDT15,212,184,342,151,158,524
4276,MED4,810,702,1350,569,745,2237
4278,ITM2B,1191,1626,3583,1365,1216,3204
4279,RB1,493,486,1049,412,424,1322
4280,LPAR6,96,118,196,99,94,254
4281,RCBTB2,81,49,88,46,59,159
4282,FNDC3A,431,394,874,393,388,1092
4283,CDADC1,94,94,147,68,77,232
4284,CAB39L,139,160,253,116,148,449
4285,SETDB2,99,130,192,97,110,291
4286,PHF11,105,141,292,147,162,440
4287,RCBTB1,327,269,446,239,270,800
4288,ARL11,1,4,6,1,3,18
4290,KPNA3,466,546,1082,433,482,1346
4291,SPRYD7,318,270,475,273,230,778
4294,TRIM13,153,139,358,155,158,432
4296,DLEU1,58,36,77,37,37,88
4299,RNASEH2B,57,67,153,63,50,147
4300,FAM124A,0,1,1,1,0,2
4301,SERPINE3,0,0,0,0,0,1
4303,INTS6,1029,849,1513,815,967,2449
4304,WDFY2,294,277,444,230,219,730
4305,DHRS12,35,36,55,41,32,101
4306,ATP7B,233,233,325,229,197,579
4307,ALG11,40,58,143,46,50,106
4308,UTP14C,477,363,625,286,324,966
4310,NEK3,99,125,161,116,129,292
4312,THSD1,396,364,449,416,424,1193
4313,VPS36,754,667,1280,576,633,1841
4314,CKAP2,1085,1108,2013,763,850,2264
4315,HNRNPA1L2,129,100,171,68,95,247
4316,SUGT1,219,306,634,257,240,782
4317,OLFM4,2,0,0,0,0,0
4319,DIAPH3,150,134,344,130,125,361
4321,TDRD3,298,249,437,226,212,679
4324,MZT1,21,22,52,25,20,79
4325,BORA,93,85,155,70,76,149
4326,DIS3,629,657,1421,667,672,1705
4327,PIBF1,73,76,222,77,80,245
4328,KLF5,2590,2316,3491,2315,2270,6425
4329,KLF12,158,157,315,131,142,403
4331,TBC1D4,202,220,401,186,157,518
4332,COMMD6,270,289,671,249,258,706
4333,UCHL3,313,320,801,283,323,888
4334,LMO7,2236,2014,3409,2122,2123,6522
4335,KCTD12,776,668,1421,938,852,2526
4336,CLN5,477,470,940,392,416,1131
4337,FBXL3,165,197,453,155,160,467
4338,MYCBP2,1109,1016,1733,932,1004,2761
4340,SCEL,2509,2426,4738,2672,2649,9417
4341,SLAIN1,2,1,1,2,1,8
4343,RNF219,177,202,501,145,159,479
4344,RBM26,852,791,1262,799,804,2402
4346,NDFIP2,592,584,1199,509,528,1432
4347,SPRY2,73,61,128,90,71,238
4348,SLITRK6,656,657,1263,441,428,1171
4349,SLITRK5,6,5,7,4,3,15
4353,GPC6,30,25,55,13,19,57
4354,TGDS,73,63,193,53,72,208
4355,GPR180,216,239,501,216,207,572
4356,SOX21,14,14,31,12,3,40
4357,ABCC4,125,120,239,98,99,306
4358,CLDN10,5,4,3,3,4,5
4359,DZIP1,143,119,193,104,97,294
4360,DNAJC3,1058,1017,1614,919,988,2516
4361,UGGT2,158,180,332,154,140,443
4363,MBNL2,502,517,852,425,377,840
4364,RAP2A,265,228,564,230,273,710
4365,IPO5,1423,1385,2709,1244,1296,3964
4366,FARP1,512,475,778,483,485,1475
4367,STK24,2059,1905,3241,1701,1655,5112
4368,SLC15A1,3,1,6,1,4,2
4369,DOCK9,1495,1360,2295,1374,1317,3915
4371,UBAC2,697,668,948,598,543,1641
4373,TM9SF2,2123,2147,3791,1742,2014,5410
4374,CLYBL,53,52,52,28,23,99
4375,PCCA,215,160,354,152,179,527
4376,GGACT,39,29,54,20,20,92
4377,TMTC4,105,84,136,73,57,167
4379,NALCN,21,16,32,21,13,67
4380,ITGBL1,58,38,79,41,51,121
4383,TPP2,591,508,967,390,485,1299
4386,KDELC1,105,80,119,75,85,251
4387,BIVM,59,42,99,32,46,118
4388,ERCC5,13,15,24,21,25,42
4393,EFNB2,1231,1218,1969,1104,1207,3346
4394,ARGLU1,927,888,1547,730,823,2215
4396,FAM155A,0,0,0,0,0,1
4397,LIG4,321,401,776,322,354,983
4398,ABHD13,112,122,279,94,87,216
4402,IRS2,78,93,101,52,57,159
4403,COL4A1,1039,945,1522,980,999,2810
4404,COL4A2,1530,1418,2039,1600,1151,3521
4406,RAB20,41,35,43,59,32,101
4407,CARS2,749,625,1097,638,571,1619
4408,ING1,237,184,309,197,219,562
4410,ANKRD10,148,169,206,141,153,372
4411,ARHGEF7,715,737,1171,714,629,1963
4413,TUBGCP3,292,210,373,190,262,667
4414,ATP11A,548,584,853,640,568,1597
4416,PCID2,372,311,453,306,278,876
4417,CUL4A,1036,799,1755,935,994,2689
4418,LAMP1,4404,4408,6878,4009,3466,10044
4419,GRTP1,30,37,41,26,27,56
4420,ADPRHL1,17,17,24,10,9,28
4421,DCUN1D2,128,119,124,82,102,351
4422,TMCO3,1325,1227,1835,1260,1151,3087
4423,TFDP1,994,848,1444,784,813,2444
4424,TMEM255B,10,16,20,22,12,36
4426,GAS6,769,806,1168,1167,769,2426
4427,RASA3,112,81,149,103,123,322
4428,CDC16,693,640,1093,552,579,1770
4429,UPF3A,1002,837,1242,662,743,2130
4430,CHAMP1,327,305,525,285,267,765
4431,TTC5,132,109,175,105,74,302
4432,CCNB1IP1,330,282,480,245,287,1007
4435,PARP2,381,343,403,284,345,998
4436,TEP1,592,521,710,461,418,1257
4437,OSGEP,142,123,189,135,124,378
4438,APEX1,1839,1462,2203,1476,1475,4230
4439,PNP,1501,1257,2062,1480,1383,4629
4440,ANG,24,22,32,18,34,49
4443,RNASE1,31,20,41,18,24,50
4444,METTL17,492,435,609,431,384,1130
4445,SLC39A2,5,1,7,4,4,24
4446,NDRG2,524,491,670,579,549,1540
4448,RNASE7,707,572,815,590,606,1575
4450,ARHGEF40,405,391,550,411,386,1032
4451,ZNF219,262,260,383,267,192,591
4454,HNRNPC,21242,16410,23620,13967,17515,47464
4456,SUPT16H,2509,2078,3674,1817,2203,6109
4457,CHD8,2261,1958,2793,1849,2035,5853
4460,RAB2B,169,138,300,157,183,462
4461,TOX4,1731,1416,2354,1288,1427,3974
4462,METTL3,579,466,728,438,488,1393
4463,SALL2,37,38,47,29,32,74
4464,DAD1,1671,1498,2306,1576,1544,4360
4465,ABHD4,779,777,1158,695,595,1766
4466,OXA1L,934,820,1348,776,874,2421
4467,SLC7A7,1,5,9,4,3,14
4468,MRPL52,315,306,505,312,318,966
4469,MMP14,14575,14043,18494,14475,12971,34266
4470,LRP10,2136,2037,3014,2266,1745,5317
4472,RBM23,678,580,857,520,515,1678
4473,PRMT5,1371,1015,1815,1084,1161,3649
4474,HAUS4,216,194,369,187,194,580
4475,AJUBA,1547,1484,2302,1370,1354,3901
4476,C14orf93,120,74,130,65,79,178
4477,PSMB5,2040,1651,2779,1854,1855,5668
4478,CDH24,96,94,106,85,67,186
4479,ACIN1,3096,3041,4378,2766,2915,8244
4480,C14orf119,986,840,1441,851,808,2505
4481,SLC7A8,398,398,491,263,230,734
4482,HOMEZ,560,524,856,512,502,1355
4483,PPP1R3E,51,55,83,38,45,90
4484,BCL2L2,1184,1153,1677,983,1102,2995
4485,PABPN1,207,228,309,171,224,549
4487,EFS,82,101,136,82,62,207
4488,MYH7,0,0,0,0,0,1
4489,NGDN,340,305,507,276,303,873
4490,THTPA,98,86,113,87,74,236
4492,AP1G2,1152,1122,1527,1098,968,2852
4493,JPH4,1,2,0,2,1,6
4494,DHRS2,18,8,18,11,7,66
4496,DHRS4,134,122,167,133,96,333
4497,DHRS4L2,103,107,154,92,103,305
4498,NRL,0,3,2,3,1,10
4499,PCK2,129,144,170,164,120,360
4500,DCAF11,666,561,923,516,519,1547
4502,PSME1,859,778,1161,822,1012,2447
4503,EMC9,39,50,55,55,36,134
4504,PSME2,841,661,1033,782,879,2618
4505,RNF31,327,340,426,314,278,892
4506,IRF9,341,321,500,685,714,2078
4507,REC8,213,243,289,206,183,548
4508,IPO4,328,320,429,348,294,1016
4511,CHMP4A,1443,1242,2002,1023,1207,3557
4513,NEDD8,612,471,866,473,503,1598
4514,GMPR2,725,639,1071,573,610,1889
4515,TINF2,1089,912,1358,1039,1116,3457
4516,TGM1,485,499,770,836,667,2373
4517,RABGGTA,432,449,595,466,448,1396
4519,NOP9,328,304,466,325,274,909
4520,CIDEB,47,67,66,42,38,108
4521,LTB4R2,11,34,20,14,24,56
4522,LTB4R,284,360,462,283,341,882
4523,ADCY4,33,16,21,42,17,47
4524,RIPK3,149,139,235,164,185,504
4525,NFATC4,352,391,510,382,335,1029
4526,NYNRIN,1542,1545,2077,1330,1207,3545
4527,CBLN3,129,163,182,111,135,363
4528,KHNYN,1803,1619,2674,1679,1700,4697
4529,SDR39U1,173,192,252,178,139,491
4530,STXBP6,2,1,0,2,2,0
4533,PRKD1,9,20,13,3,12,45
4534,G2E3,162,180,336,150,171,438
4535,SCFD1,487,415,926,443,436,1222
4536,COCH,3,0,0,0,2,0
4538,STRN3,726,621,1148,574,617,1691
4539,AP4S1,58,65,87,48,42,147
4540,HECTD1,1742,1728,3273,1601,1651,4360
4541,HEATR5A,321,272,470,262,247,788
4542,DTD2,161,129,273,102,85,269
4543,NUBPL,164,184,308,117,137,481
4545,ARHGAP5,734,841,2141,635,639,1801
4546,AKAP6,66,84,125,57,69,167
4548,EGLN3,210,230,454,199,201,506
4549,SPTSSA,179,114,213,139,156,392
4550,EAPP,500,417,643,403,462,1010
4551,SNX6,913,953,2261,855,913,2616
4552,CFL2,138,178,459,158,161,450
4553,BAZ1A,2594,2321,4074,2122,2421,6802
4554,SRP54,1447,1300,2285,1031,1277,3378
4556,PPP2R3C,53,52,155,62,78,178
4557,KIAA0391,604,540,1004,546,615,1823
4558,PSMA6,1512,1301,2071,1219,1574,4238
4559,NFKBIA,1292,1415,1933,2421,2140,6090
4560,RALGAPA1,238,239,417,209,233,582
4561,BRMS1L,214,218,502,173,230,480
4562,MBIP,156,229,345,142,179,407
4563,SFTA3,16,9,34,15,13,34
4564,NKX2-1,181,220,232,160,122,399
4565,NKX2-8,4,7,7,7,5,15
4566,PAX9,396,431,650,339,286,890
4567,SLC25A21,10,8,17,2,10,22
4568,MIPOL1,102,87,172,70,73,257
4569,FOXA1,618,592,909,648,609,1748
4571,SEC23A,825,760,1464,781,808,2371
4572,GEMIN2,75,53,130,61,64,161
4573,TRAPPC6B,199,236,560,205,188,540
4574,PNN,3459,3138,4507,2396,2839,8379
4577,FBXO33,157,160,318,103,148,389
4579,KLHL28,121,122,175,104,113,299
4580,PRPF39,427,461,754,381,415,1024
4581,FKBP3,1020,892,1772,778,832,2452
4582,FANCM,44,51,103,41,40,114
4583,MIS18BP1,131,154,367,120,112,375
4585,RPS29,3122,2587,4551,2587,2663,7595
4586,LRR1,52,48,81,72,42,91
4587,RPL36AL,3750,3056,5294,3202,3506,10379
4588,MGAT2,528,459,813,453,441,1283
4589,DNAAF2,74,68,126,84,50,173
4590,POLE2,33,28,54,18,11,58
4592,KLHDC2,217,233,324,183,202,501
4593,NEMF,1463,1301,2409,1173,1276,3469
4594,ARF6,1244,1205,2321,1057,1051,3096
4595,SOS2,470,433,835,411,438,1046
4596,L2HGDH,114,102,146,77,98,275
4598,CDKL1,16,17,27,15,18,47
4599,MAP4K5,712,657,1220,587,647,1938
4600,ATL1,73,74,127,57,62,189
4601,SAV1,445,387,692,412,434,1284
4602,NIN,743,636,1208,620,662,1913
4604,PYGL,3408,2917,4862,2903,3211,9378
4605,TRIM9,1,3,3,1,0,4
4606,TMX1,468,520,818,427,421,1092
4608,FRMD6,1593,1595,2772,1308,1483,4246
4610,GNG2,7,7,16,7,7,33
4611,NID2,27,11,41,12,21,63
4612,PTGER2,5,1,2,1,1,0
4613,TXNDC16,18,26,44,19,7,56
4614,PSMC6,1109,963,1668,909,993,2872
4615,STYX,159,140,288,108,114,368
4616,GNPNAT1,330,357,956,332,325,943
4617,FERMT2,146,136,234,108,132,303
4618,DDHD1,203,193,356,157,143,467
4619,BMP4,38,34,57,17,23,63
4620,CDKN3,91,81,138,48,73,202
4621,GMFB,148,180,531,159,157,403
4622,CGRRF1,45,48,73,38,34,108
4623,SAMD4A,492,515,720,635,599,1842
4624,GCH1,50,42,88,62,64,171
4625,WDHD1,192,165,303,132,109,366
4626,SOCS4,165,175,414,153,182,479
4627,MAPK1IP1L,1575,1468,2269,1360,1345,4260
