,Gene_Name,Series1_NHBE_Mock_1,Series1_NHBE_Mock_2,Series1_NHBE_Mock_3,Series1_NHBE_SARS-CoV-2_1,Series1_NHBE_SARS-CoV-2_2,Series1_NHBE_SARS-CoV-2_3
1261,LMX1A,0,1,0,0,0,0
1263,MGST3,1856,1551,2512,1475,1765,5083
1264,ALDH9A1,654,642,1173,516,599,1682
1265,TMCO1,1262,1101,1725,1021,999,2851
1266,UCK2,600,511,804,600,583,1909
1269,POGK,694,594,1106,597,602,1846
1270,TADA1,85,56,154,71,60,202
1271,POU2F1,414,332,568,293,279,983
1272,CD247,3,0,0,0,0,0
1273,CREG1,570,591,916,423,437,1084
1275,MPZL1,2954,2839,4559,2482,2616,7653
1276,ADCY10,1,1,4,1,0,1
1277,MPC2,150,182,356,123,139,428
1278,DCAF6,1250,1067,2026,1057,1173,3294
1279,GPR161,366,311,467,352,342,1003
1280,TIPRL,452,520,1162,503,560,1475
1281,SFT2D2,56,73,117,68,64,214
1283,TBX19,47,50,73,31,46,98
1284,ATP1B1,1325,1159,2063,1456,1557,3963
1285,NME7,272,283,631,255,254,603
1286,BLZF1,435,412,786,398,434,1304
1287,SLC19A2,88,73,179,74,79,210
1288,F5,11,11,13,8,4,30
1290,SELL,0,0,5,2,3,13
1291,METTL18,70,54,70,49,37,140
1292,C1orf112,58,49,80,46,46,148
1293,SCYL3,162,131,206,121,143,335
1294,KIFAP3,398,339,676,298,290,934
1295,GORAB,66,87,130,49,72,192
1298,FMO3,7,5,6,4,1,1
1301,FMO4,43,32,37,18,27,73
1303,PRRC2C,9257,8038,12475,7333,7858,22496
1304,VAMP4,122,178,410,157,127,338
1305,METTL13,461,373,679,418,416,1318
1306,DNM3,35,28,57,25,21,77
1308,PIGC,129,98,169,119,97,308
1309,SUCO,259,323,681,268,300,710
1310,FASLG,2,1,1,0,0,5
1312,TNFSF4,11,4,24,10,12,33
1314,PRDX6,1365,1271,2155,1334,1150,3777
1317,KLHL20,426,373,611,312,342,948
1318,CENPL,46,40,89,52,46,205
1319,DARS2,574,479,793,454,430,1381
1330,ZBTB37,22,12,28,17,9,41
1331,SERPINC1,3,0,0,1,5,5
1332,RC3H1,348,352,650,325,330,874
1333,RABGAP1L,608,574,906,470,517,1382
1335,CACYBP,580,490,859,479,503,1544
1336,MRPS14,242,222,343,170,195,677
1337,KIAA0040,484,409,640,449,375,1262
1339,ASTN1,1,4,5,5,7,15
1340,SEC16B,41,58,60,35,43,96
1342,RASAL2,1179,988,1696,873,950,2540
1345,RALGPS2,319,373,617,283,274,721
1346,FAM20B,769,792,1631,710,758,2125
1347,TOR3A,653,503,682,491,538,1331
1348,ABL2,872,790,1466,814,802,2358
1349,SOAT1,323,287,527,255,213,674
1350,AXDND1,0,2,0,1,0,6
1352,TOR1AIP2,1036,1045,1800,884,962,2689
1353,TOR1AIP1,770,646,1167,595,591,1799
1354,CEP350,527,520,944,441,461,1264
1355,QSOX1,2925,2986,4232,3571,2783,8341
1357,LHX4,0,0,0,0,1,2
1359,XPR1,693,697,1365,596,616,1745
1361,STX6,911,858,1497,879,897,2602
1362,MR1,1313,1137,2023,989,1088,3145
1363,IER5,521,425,708,452,425,1327
1364,CACNA1E,0,0,1,0,0,0
1366,GLUL,13990,12460,18485,11980,12315,34025
1367,RNASEL,350,281,566,251,281,695
1368,RGS16,8,13,17,9,14,31
1369,NPL,54,65,76,26,47,88
1370,DHX9,1991,1720,3015,1743,1735,5459
1371,LAMC1,7018,6230,9395,5512,6163,16652
1372,LAMC2,80535,67531,123576,82264,84861,255564
1373,NMNAT2,27,15,39,14,14,54
1374,SMG7,1759,1480,2528,1517,1601,4680
1375,NCF2,318,278,428,329,365,1195
1376,ARPC5,679,809,1860,916,618,2111
1377,RGL1,58,45,75,41,50,119
1379,C1orf21,467,428,781,287,354,975
1380,EDEM3,538,573,1159,557,547,1488
1381,FAM129A,474,484,729,288,354,900
1382,RNF2,267,246,407,188,217,550
1383,TRMT1L,427,421,880,289,332,987
1384,SWT1,69,90,148,50,75,148
1385,IVNS1ABP,1963,1683,3004,1646,1722,5046
1386,HMCN1,35,30,53,25,35,89
1387,PRG4,7,10,0,3,3,23
1388,TPR,2512,2239,3807,1966,2159,5892
1390,PDC,1,1,2,1,0,2
1391,PTGS2,236,250,486,357,345,1030
1392,PLA2G4A,103,105,199,63,82,268
1393,RGS18,4,2,8,3,0,20
1394,RGS2,190,206,401,177,194,562
1395,UCHL5,242,282,656,253,268,703
1396,TROVE2,134,146,331,113,94,262
1397,GLRX2,11,22,64,22,22,48
1398,CDC73,617,517,1082,497,553,1580
1399,CFH,1321,1309,2333,1141,1245,3283
1400,CFHR3,1,3,2,1,2,9
1401,ASPM,59,77,249,60,64,154
1403,CRB1,1,0,3,0,1,3
1404,DENND1B,51,74,163,87,70,215
1406,NEK7,218,167,390,152,181,424
1407,PTPRC,0,0,1,1,0,0
1410,ZNF281,422,390,761,377,409,1131
1411,KIF14,43,73,133,67,53,165
1412,DDX59,171,150,258,129,170,397
1413,CAMSAP2,1963,1915,3654,1637,1825,5256
1414,KIF21B,17,11,12,30,10,57
1415,CACNA1S,0,0,1,0,0,0
1417,TMEM9,861,823,1202,750,708,2323
1418,IGFN1,15,34,31,23,22,65
1419,PKP1,5711,5313,8405,4560,4340,13358
1420,TNNT2,24,29,33,16,19,76
1423,PHLDA3,596,621,801,636,474,1279
1424,CSRP1,1092,950,1434,1177,1062,3448
1426,NAV1,1185,1026,1708,1045,1126,3482
1427,IPO9,1148,1013,1586,969,1009,2987
1428,SHISA4,119,128,187,102,101,296
1429,TIMM17A,872,706,1508,734,824,2567
1430,RNPEP,1488,1238,2105,1245,1302,3667
1431,ELF3,1986,1989,2772,1883,1791,4521
1432,GPR37L1,5,1,7,9,6,16
1433,ARL8A,1359,1182,1793,1256,1141,3607
1434,LGR6,5,5,11,7,1,18
1435,UBE2T,75,51,99,77,62,254
1436,PPP1R12B,371,418,622,262,280,954
1437,SYT2,3,4,8,4,1,2
1438,KDM5B,2350,2151,3701,2019,2169,6059
1440,RABIF,159,125,306,146,172,473
1441,KLHL12,615,433,896,445,506,1241
1442,ADIPOR1,3360,3379,5698,3166,3408,10215
1443,CYB5R1,1196,1233,1836,1282,1220,3499
1445,PPFIA4,236,239,320,277,263,699
1446,ADORA1,3,3,2,2,3,2
1447,CHI3L1,2,5,3,2,2,9
1449,BTG2,2243,2055,3584,1941,1892,4953
1450,FMOD,15,10,19,15,11,31
1452,ATP2B4,3715,3566,5665,2798,2988,9510
1455,LAX1,1,0,1,0,0,2
1456,ZC3H11A,1873,1662,2710,1615,1677,4810
1457,ZBED6,201,163,322,203,181,543
1458,SNRPE,175,140,301,150,154,495
1460,SOX13,271,231,393,274,205,719
1461,ETNK2,322,250,420,256,255,631
1462,REN,1,5,1,1,5,19
1463,KISS1,1,0,0,0,0,3
1464,GOLT1A,6,13,18,8,8,19
1465,PLEKHA6,143,157,231,165,123,470
1467,PPP1R15B,603,604,985,492,504,1490
1468,PIK3C2B,237,248,316,160,166,493
1469,MDM4,153,158,235,113,130,436
1470,LRRN2,0,3,0,0,0,5
1471,NFASC,85,93,146,84,82,234
1472,TMEM81,40,47,73,58,41,109
1473,RBBP5,366,326,596,341,338,1014
1474,DSTYK,458,388,756,336,369,1056
1475,TMCC2,87,93,141,80,61,165
1476,NUAK2,337,275,461,383,312,1023
1477,LEMD1,7,4,13,2,8,26
1479,CDK18,905,971,1307,1092,921,2663
1480,ELK4,513,517,942,427,454,1344
1481,SLC45A3,121,86,126,92,84,286
1482,NUCKS1,4444,3706,6534,2928,3576,9694
1483,SLC41A1,478,445,666,379,371,1073
1485,SLC26A9,6,0,8,9,9,39
1487,CTSE,0,2,5,0,2,4
1488,SRGAP2,466,395,711,382,357,1171
1489,IKBKE,224,225,292,351,298,846
1490,RASSF5,215,212,312,151,154,491
1491,EIF2D,624,523,812,516,526,1432
1492,DYRK3,201,171,349,156,212,487
1493,MAPKAPK2,1048,1096,1541,1138,978,3133
1494,IL19,1,3,0,3,5,10
1495,IL20,0,0,0,0,1,3
1496,IL24,0,3,1,1,2,4
1497,PIGR,60,46,62,69,77,114
1499,C1orf116,6528,6364,9583,5587,5591,16666
1500,YOD1,157,172,293,129,175,360
1501,PFKFB2,399,359,592,276,296,800
